epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.154,0.99884,9.58509,0.69218,0.84724,1.36343,0.95251,0.94064,0.9783,0.78885,0.46365,0.24506,0.16697,0.03785,0.8299,7.00173,0.53834,0.45471,1.19996,0.00333043,0.00333043,0.00333043
2,375.279,0.88975,7.13042,0.64248,0.62663,1.25836,0.90735,0.86785,0.94739,0.74743,0.69594,0.4259,0.40461,0.18946,0.88694,5.38375,0.40489,0.64455,1.26042,0.0065978,0.0065978,0.0065978
3,562.179,0.93695,6.42635,0.59061,0.68564,1.28649,0.90704,0.86211,0.93742,0.70983,0.82264,0.51434,0.51189,0.22894,0.97713,4.89118,0.3388,0.67143,1.35462,0.00979916,0.00979916,0.00979916
4,747.471,0.97132,6.10095,0.51798,0.71107,1.30026,0.93304,0.91028,0.96496,0.75642,0.79778,0.549,0.55122,0.32209,0.88778,4.30527,0.22186,0.54231,1.26743,0.009703,0.009703,0.009703
5,932.618,0.92279,5.57017,0.4636,0.65981,1.2582,0.93167,0.90707,0.9625,0.7695,0.86078,0.57767,0.61779,0.40341,0.84429,3.92301,0.1757,0.54286,1.2193,0.009604,0.009604,0.009604
6,1117.89,0.88949,5.20012,0.43069,0.62382,1.23723,0.94621,0.9325,0.97695,0.79255,0.69363,0.57184,0.4775,0.28077,0.78325,3.94934,0.13408,0.4624,1.1649,0.009505,0.009505,0.009505
7,1302.33,0.86294,4.99206,0.4049,0.59576,1.22045,0.94975,0.94775,0.98173,0.81355,0.81462,0.65465,0.67777,0.44161,0.75679,3.33403,0.11404,0.43004,1.14085,0.009406,0.009406,0.009406
8,1477.61,0.83809,4.75708,0.38873,0.57039,1.20299,0.94595,0.95017,0.98006,0.82262,0.80923,0.67787,0.69532,0.46914,0.73209,3.19981,0.09968,0.43331,1.11601,0.009307,0.009307,0.009307
9,1658.99,0.83079,4.6767,0.3802,0.5578,1.19851,0.95267,0.95671,0.98472,0.83285,0.81789,0.68568,0.70159,0.48903,0.71968,3.10961,0.09723,0.39085,1.09842,0.009208,0.009208,0.009208
10,1844.95,0.81053,4.51293,0.36808,0.54701,1.18293,0.95137,0.95979,0.98515,0.82486,0.82594,0.68876,0.69012,0.46339,0.70601,3.06827,0.09368,0.40594,1.09633,0.009109,0.009109,0.009109
11,2030.6,0.79807,4.42102,0.35855,0.53733,1.17567,0.95479,0.95821,0.98473,0.84136,0.8154,0.73008,0.73158,0.51268,0.67088,2.83057,0.09195,0.38579,1.07413,0.00901,0.00901,0.00901
12,2215.99,0.78632,4.29053,0.35216,0.52464,1.17191,0.96482,0.96623,0.98792,0.84384,0.81438,0.72069,0.72099,0.50766,0.67638,2.87243,0.08348,0.35977,1.07517,0.008911,0.008911,0.008911
13,2391,0.77909,4.20717,0.35012,0.51968,1.16894,0.96482,0.95323,0.98677,0.84621,0.81714,0.72677,0.737,0.52938,0.67282,2.79884,0.08823,0.36619,1.07156,0.008812,0.008812,0.008812
14,2563.38,0.77396,4.18481,0.33881,0.50741,1.16157,0.96492,0.96386,0.98832,0.85359,0.81736,0.73646,0.73431,0.53225,0.6505,2.71552,0.0739,0.35631,1.05206,0.008713,0.008713,0.008713
15,2740.46,0.75834,4.1107,0.33629,0.50263,1.15372,0.96741,0.96648,0.98801,0.85511,0.82884,0.74298,0.76021,0.5578,0.64768,2.66567,0.08166,0.35422,1.04865,0.008614,0.008614,0.008614
16,2925.72,0.7544,3.99123,0.32918,0.4928,1.14921,0.96611,0.96989,0.98903,0.85568,0.83394,0.76526,0.77367,0.57216,0.64702,2.54797,0.07171,0.34183,1.05005,0.008515,0.008515,0.008515
17,3110.79,0.74917,3.94165,0.32665,0.49057,1.14504,0.96771,0.96633,0.98927,0.85882,0.84581,0.77388,0.78538,0.57694,0.62354,2.49183,0.07143,0.34488,1.033,0.008416,0.008416,0.008416
18,3296.02,0.75209,3.9138,0.32108,0.48988,1.14276,0.9651,0.96924,0.98877,0.86338,0.83755,0.77826,0.78418,0.58499,0.61399,2.47741,0.07902,0.33803,1.02935,0.008317,0.008317,0.008317
19,3480.95,0.73892,3.86046,0.31758,0.48072,1.13718,0.97057,0.97099,0.9898,0.86752,0.83076,0.76382,0.77625,0.5925,0.62518,2.52378,0.06558,0.32243,1.02903,0.008218,0.008218,0.008218
20,3665.7,0.74045,3.79632,0.3152,0.47651,1.13951,0.96934,0.97089,0.98944,0.8681,0.83427,0.78329,0.78674,0.59283,0.60931,2.44183,0.06955,0.32416,1.01954,0.008119,0.008119,0.008119
21,3850.75,0.72986,3.77567,0.30883,0.47243,1.13224,0.97233,0.97161,0.98938,0.87104,0.83999,0.77329,0.79204,0.60927,0.61249,2.4327,0.07017,0.31926,1.02491,0.00802,0.00802,0.00802
22,4029.02,0.7286,3.7327,0.30639,0.46514,1.1325,0.96401,0.97295,0.98912,0.87081,0.84902,0.78541,0.80525,0.62018,0.60417,2.32616,0.06691,0.31709,1.02274,0.007921,0.007921,0.007921
23,4205.81,0.7181,3.63386,0.30134,0.45887,1.12493,0.9665,0.97209,0.98973,0.87385,0.83376,0.79878,0.79698,0.63065,0.5922,2.22328,0.06057,0.31171,1.01154,0.007822,0.007822,0.007822
24,4379.65,0.71621,3.62895,0.30103,0.45979,1.12435,0.96823,0.96878,0.98925,0.87297,0.85287,0.7941,0.81135,0.642,0.58745,2.1666,0.06337,0.31148,1.00464,0.007723,0.007723,0.007723
25,4548.09,0.71679,3.61184,0.29642,0.45498,1.12256,0.96613,0.97413,0.98988,0.87744,0.85719,0.79934,0.81736,0.65185,0.58311,2.13062,0.0627,0.30621,1.0082,0.007624,0.007624,0.007624
26,4725.17,0.71064,3.56021,0.29422,0.44711,1.1189,0.97328,0.97324,0.99027,0.87977,0.85281,0.80158,0.81696,0.65804,0.58079,2.12253,0.06089,0.30055,1.0004,0.007525,0.007525,0.007525
27,4906.89,0.70511,3.52017,0.2884,0.44879,1.11662,0.96956,0.97408,0.99026,0.8819,0.84932,0.80438,0.81897,0.65964,0.57393,2.11012,0.05956,0.29913,0.99656,0.007426,0.007426,0.007426
28,5087.74,0.69961,3.51429,0.28901,0.44711,1.11318,0.96826,0.9777,0.9902,0.88039,0.8458,0.80961,0.82027,0.66177,0.58354,2.10298,0.05807,0.29872,1.00513,0.007327,0.007327,0.007327
29,5269.18,0.70041,3.46576,0.28578,0.4421,1.11424,0.96921,0.9754,0.9901,0.88361,0.84127,0.80668,0.81183,0.66122,0.56984,2.11478,0.05896,0.29416,0.99589,0.007228,0.007228,0.007228
30,5448.76,0.69716,3.4298,0.27897,0.43812,1.11204,0.97059,0.97732,0.99037,0.88385,0.8424,0.80583,0.81624,0.67037,0.56931,2.08413,0.0589,0.29232,0.99671,0.007129,0.007129,0.007129
31,5637.48,0.69333,3.4128,0.27917,0.44101,1.10838,0.97099,0.97349,0.99044,0.88925,0.85614,0.81318,0.83321,0.68269,0.55895,2.02599,0.05708,0.29136,0.98604,0.00703,0.00703,0.00703
32,5814.49,0.6965,3.39954,0.27783,0.44282,1.11266,0.96967,0.97642,0.99067,0.88781,0.85636,0.81853,0.83498,0.68488,0.56039,2.00076,0.05552,0.28947,0.98936,0.006931,0.006931,0.006931
33,5988.68,0.68837,3.32661,0.27324,0.43212,1.10401,0.97222,0.97617,0.99085,0.88822,0.8631,0.8171,0.84128,0.6868,0.55847,1.97668,0.05497,0.28552,0.98739,0.006832,0.006832,0.006832
34,6171.49,0.68495,3.30642,0.2723,0.43126,1.10676,0.96919,0.97824,0.99069,0.89092,0.85771,0.8281,0.84397,0.68992,0.55458,1.95403,0.0542,0.28643,0.98535,0.006733,0.006733,0.006733
35,6354.55,0.68332,3.29068,0.27007,0.42873,1.10466,0.97192,0.97478,0.99056,0.88915,0.86365,0.81534,0.84397,0.69458,0.55622,1.96077,0.05286,0.28399,0.98697,0.006634,0.006634,0.006634
36,6537.53,0.68283,3.22897,0.27021,0.43123,1.10371,0.96946,0.97706,0.99058,0.8899,0.86059,0.82366,0.84344,0.69582,0.55458,1.94125,0.05356,0.28059,0.9857,0.006535,0.006535,0.006535
37,6720.63,0.68005,3.18797,0.26874,0.42727,1.10149,0.97099,0.97795,0.99047,0.89088,0.85631,0.83006,0.84563,0.70032,0.55384,1.94571,0.05306,0.27781,0.98487,0.006436,0.006436,0.006436
38,6903.52,0.6805,3.14984,0.26721,0.42937,1.10428,0.97346,0.97655,0.9908,0.89245,0.8574,0.82678,0.8441,0.69916,0.54752,1.93879,0.05226,0.27655,0.97889,0.006337,0.006337,0.006337
39,7086.23,0.67825,3.11899,0.2629,0.42541,1.09989,0.97049,0.9777,0.99078,0.89139,0.85712,0.82847,0.84354,0.69825,0.54642,1.92861,0.0516,0.27525,0.9783,0.006238,0.006238,0.006238
40,7269.08,0.67404,3.08054,0.26347,0.42513,1.09976,0.96949,0.97732,0.99087,0.892,0.86292,0.83191,0.84947,0.70144,0.54406,1.89599,0.05202,0.27372,0.97544,0.006139,0.006139,0.006139
41,7452.16,0.66751,3.05238,0.26153,0.41732,1.09425,0.97148,0.97719,0.99092,0.89215,0.85998,0.83255,0.84763,0.70288,0.54264,1.90037,0.05093,0.27318,0.97381,0.00604,0.00604,0.00604
42,7634.79,0.66865,3.04712,0.26052,0.41505,1.09465,0.97248,0.97668,0.9909,0.89231,0.86198,0.83251,0.84788,0.70444,0.54225,1.89189,0.05058,0.27293,0.97345,0.005941,0.005941,0.005941
43,7817.83,0.66183,3.01711,0.25907,0.41295,1.09161,0.97201,0.97804,0.99081,0.89262,0.86288,0.83165,0.84797,0.70553,0.54028,1.88402,0.05007,0.27113,0.97152,0.005842,0.005842,0.005842
